,D786T08,D786T05,D786T07,D786T02,D786T04,D786T03,D786T01,D786T06
ENSMUSG00000080615,0,0,0,0,0,0,0,0
ENSMUSG00000028898,95,158,213,96,142,168,166,206
ENSMUSG00000028896,45,133,191,62,75,140,108,160
ENSMUSG00000085241,24,46,51,52,57,56,99,48
ENSMUSG00000091021,3,9,0,7,5,6,4,6
ENSMUSG00000065353,87,80,110,85,153,148,138,114
ENSMUSG00000064387,0,0,10,1,0,6,0,2
ENSMUSG00000066043,164,201,342,311,242,423,353,364
ENSMUSG00000096350,0,0,0,0,0,0,0,0
ENSMUSG00000064739,0,0,0,0,0,0,0,0
ENSMUSG00000066042,20,6,16,10,5,36,23,11
ENSMUSG00000028893,95,94,192,107,155,206,167,165
ENSMUSG00000086997,14,13,58,35,41,18,27,39
ENSMUSG00000054428,137,121,367,236,176,210,355,267
ENSMUSG00000087352,4,1,1,1,4,6,2,0
ENSMUSG00000054405,240,174,517,353,322,426,458,375
ENSMUSG00000065623,1,0,1,3,0,3,0,1
ENSMUSG00000056529,5,8,10,33,9,1,5,9
ENSMUSG00000028886,145,162,347,170,245,270,236,284
ENSMUSG00000037752,22,23,43,16,31,33,38,27
ENSMUSG00000028885,8,7,2,0,1,19,1,2
ENSMUSG00000028884,37,20,47,32,40,48,44,50
ENSMUSG00000037731,2,9,3,8,2,14,6,28
ENSMUSG00000081647,1,0,0,3,0,2,0,0
ENSMUSG00000028882,84,106,149,104,119,140,160,157
ENSMUSG00000088990,2,0,13,2,4,10,8,5
ENSMUSG00000028879,244,247,476,285,321,385,376,386
ENSMUSG00000083816,2,3,2,8,3,6,0,0
ENSMUSG00000028878,161,207,301,184,215,265,350,297
ENSMUSG00000087911,0,0,0,0,0,0,0,0
ENSMUSG00000028874,13,11,0,23,6,13,0,13
ENSMUSG00000037692,345,284,652,457,663,532,507,593
ENSMUSG00000097088,34,42,119,55,86,66,27,64
ENSMUSG00000028868,570,623,1250,783,784,953,864,1044
ENSMUSG00000089298,7,1,0,0,0,1,0,5
ENSMUSG00000099202,0,0,0,0,2,0,4,2
ENSMUSG00000049649,8,5,13,12,17,6,5,6
ENSMUSG00000028865,14,5,21,11,8,13,1,17
ENSMUSG00000028862,149,161,224,176,153,190,109,245
ENSMUSG00000028860,14,14,26,9,17,17,9,19
ENSMUSG00000028857,33,44,88,56,55,76,79,84
ENSMUSG00000083241,3,1,5,0,0,1,0,3
ENSMUSG00000037622,96,123,218,91,125,157,112,185
ENSMUSG00000028854,338,317,675,359,567,583,438,683
ENSMUSG00000092745,0,0,0,0,0,0,0,0
ENSMUSG00000086850,1,5,4,3,2,3,0,0
ENSMUSG00000046694,4,10,3,1,3,14,2,4
ENSMUSG00000056596,7,3,12,12,0,8,2,10
ENSMUSG00000037600,2,0,0,0,1,0,3,2
ENSMUSG00000028851,158,169,402,210,215,245,281,286
ENSMUSG00000037583,2,2,0,10,3,0,0,2
ENSMUSG00000093886,1,0,0,1,0,0,0,0
ENSMUSG00000028850,37,62,74,63,62,51,62,89
ENSMUSG00000028848,25,30,11,24,32,34,47,14
ENSMUSG00000047281,10,10,14,15,13,16,31,20
ENSMUSG00000037553,68,84,163,114,120,96,107,126
ENSMUSG00000083885,1,2,1,10,2,1,0,0
ENSMUSG00000093031,0,0,0,0,0,0,0,1
ENSMUSG00000043257,43,56,108,69,69,80,112,80
ENSMUSG00000007880,1245,1486,3535,1727,2386,2592,2205,2893
ENSMUSG00000104566,2,6,3,4,4,13,9,11
ENSMUSG00000084555,0,0,4,0,0,0,0,0
ENSMUSG00000084789,14,9,26,23,17,13,31,18
ENSMUSG00000003644,32,22,25,33,20,39,29,39
ENSMUSG00000085009,1,1,0,2,2,2,6,1
ENSMUSG00000080946,0,0,3,0,2,0,4,0
ENSMUSG00000089321,0,0,0,1,1,0,3,3
ENSMUSG00000003038,117,150,266,192,211,272,277,225
ENSMUSG00000012117,76,98,167,111,121,120,150,165
ENSMUSG00000050966,6,7,0,8,4,4,1,0
ENSMUSG00000087288,0,0,0,1,0,0,0,0
ENSMUSG00000049410,2,5,0,1,0,0,2,1
ENSMUSG00000012123,19,24,0,27,13,10,3,8
ENSMUSG00000000682,2,1,3,2,3,1,0,0
ENSMUSG00000012126,28,21,19,35,22,38,28,33
ENSMUSG00000028843,27,27,115,60,47,56,79,63
ENSMUSG00000037443,85,88,154,73,132,161,117,161
ENSMUSG00000098693,0,0,0,0,0,0,0,0
ENSMUSG00000073747,5,11,0,13,4,11,0,7
ENSMUSG00000081772,0,0,0,0,0,0,0,0
ENSMUSG00000048003,7,6,3,11,4,3,0,8
ENSMUSG00000028841,9,8,4,16,9,12,0,10
ENSMUSG00000028840,24,37,40,24,31,23,27,23
ENSMUSG00000086322,0,2,0,5,0,1,1,9
ENSMUSG00000108398,1,3,0,0,4,1,0,0
ENSMUSG00000050105,3,5,11,3,2,7,2,9
ENSMUSG00000050890,32,46,80,47,59,77,67,97
ENSMUSG00000028834,15,10,0,5,7,14,2,11
ENSMUSG00000083065,2,1,0,1,0,1,0,0
ENSMUSG00000028836,2,6,0,6,4,8,0,4
ENSMUSG00000028838,5,9,14,6,10,6,3,1
ENSMUSG00000037366,80,102,226,199,218,190,263,172
ENSMUSG00000087343,3,0,0,0,0,0,0,0
ENSMUSG00000028832,29,40,83,43,46,72,121,73
ENSMUSG00000092812,0,0,0,0,0,0,0,0
ENSMUSG00000083001,4,0,0,1,0,0,0,1
ENSMUSG00000037348,47,51,80,71,89,80,123,103
ENSMUSG00000078521,6,18,5,7,9,2,4,3
ENSMUSG00000046671,162,154,409,275,250,359,417,316
ENSMUSG00000050989,246,257,544,478,449,545,583,530
ENSMUSG00000037306,170,215,510,384,521,387,342,435
ENSMUSG00000099289,0,2,1,1,2,1,2,0
ENSMUSG00000037295,394,357,993,661,1028,843,908,790
ENSMUSG00000028826,265,280,659,389,343,450,417,447
ENSMUSG00000028825,3,3,3,3,10,6,3,6
ENSMUSG00000028822,190,220,457,298,302,448,501,438
ENSMUSG00000037266,1766,2286,4771,2475,3307,3607,3844,4061
ENSMUSG00000028821,302,412,930,356,354,590,487,727
ENSMUSG00000086884,3,0,4,18,6,9,5,11
ENSMUSG00000070691,199,180,458,267,319,402,355,396
ENSMUSG00000084986,0,2,0,4,4,0,0,0
ENSMUSG00000037242,1217,1031,2528,1819,1836,2095,2226,2245
ENSMUSG00000087270,0,0,0,0,0,0,0,0
ENSMUSG00000085002,0,0,0,0,3,0,0,0
ENSMUSG00000082833,4,0,5,0,1,2,0,4
ENSMUSG00000028809,1607,1555,3955,1905,2488,2749,2635,3126
ENSMUSG00000043924,7,6,6,2,3,5,0,1
ENSMUSG00000084032,1,2,0,2,1,2,0,0
ENSMUSG00000081136,1,1,0,0,2,2,0,5
ENSMUSG00000059713,31,66,97,45,36,42,57,64
ENSMUSG00000076123,0,0,0,0,0,0,0,0
ENSMUSG00000087016,4,0,0,4,0,1,1,5
ENSMUSG00000028803,6,12,8,22,6,13,7,9
ENSMUSG00000103955,0,0,0,1,0,0,0,2
ENSMUSG00000028801,7,2,4,2,1,2,3,9
ENSMUSG00000080474,1,0,0,0,0,5,0,0
ENSMUSG00000037188,16,7,0,9,6,7,0,10
ENSMUSG00000088179,0,1,0,0,0,0,0,0
ENSMUSG00000086788,1,1,0,5,6,2,0,8
ENSMUSG00000062157,6,4,0,12,3,8,0,16
ENSMUSG00000083678,1,1,0,0,0,1,0,0
ENSMUSG00000037157,10,7,0,8,4,15,0,0
ENSMUSG00000082743,0,0,0,0,1,2,0,0
ENSMUSG00000037139,30,30,3,16,14,23,12,5
ENSMUSG00000081672,1,1,0,0,0,0,0,3
ENSMUSG00000028676,500,448,1052,832,951,939,1061,949
ENSMUSG00000028675,267,263,648,398,499,511,623,531
ENSMUSG00000083430,1,0,0,0,0,0,0,2
ENSMUSG00000062585,7,12,0,2,2,5,6,8
ENSMUSG00000028673,122,144,276,208,158,260,257,233
ENSMUSG00000028672,72,117,177,101,104,123,123,118
ENSMUSG00000028671,13,8,23,16,17,19,21,14
ENSMUSG00000028670,37,37,116,57,58,83,117,87
ENSMUSG00000028669,72,68,154,83,100,111,84,108
ENSMUSG00000083852,0,0,0,0,0,1,0,0
ENSMUSG00000028668,312,311,729,462,499,535,615,693
ENSMUSG00000085714,3,4,0,1,0,2,0,0
ENSMUSG00000097995,2,9,4,10,9,5,9,6
ENSMUSG00000059291,229,250,532,322,274,410,463,410
ENSMUSG00000082877,0,0,0,1,0,0,0,0
ENSMUSG00000088614,0,0,0,0,1,0,0,0
ENSMUSG00000007872,532,701,1068,916,1105,1727,1421,929
ENSMUSG00000018983,11,16,20,13,28,17,14,30
ENSMUSG00000036995,105,102,204,91,157,217,106,219
ENSMUSG00000001604,29,22,75,24,46,42,20,54
ENSMUSG00000051351,203,248,437,354,327,387,371,339
ENSMUSG00000081330,5,0,0,11,8,4,0,5
ENSMUSG00000066037,594,672,1456,885,1013,1150,1298,1121
ENSMUSG00000098155,10,27,15,12,9,15,9,9
ENSMUSG00000070687,13,18,7,5,8,9,2,8
ENSMUSG00000066178,5,7,6,16,7,4,17,8
ENSMUSG00000001089,600,389,1243,826,920,969,1136,978
ENSMUSG00000036940,330,308,772,355,474,557,534,583
ENSMUSG00000082711,5,5,7,7,10,7,3,11
ENSMUSG00000083054,4,3,0,4,1,4,3,1
ENSMUSG00000092747,0,0,0,0,0,0,0,0
ENSMUSG00000036921,0,1,2,2,3,0,0,2
ENSMUSG00000070683,21,9,0,7,4,6,3,5
ENSMUSG00000103119,8,2,0,5,4,4,0,0
ENSMUSG00000028664,25,30,16,49,28,25,18,20
ENSMUSG00000036905,5,2,0,1,1,4,0,1
ENSMUSG00000036896,3,11,0,4,2,3,0,6
ENSMUSG00000036887,1,2,0,0,0,2,1,5
ENSMUSG00000028661,14,8,4,5,5,20,4,0
ENSMUSG00000060862,138,159,266,184,214,208,166,276
ENSMUSG00000077624,2,0,0,9,0,0,0,0
ENSMUSG00000085542,1,0,0,0,0,0,0,0
ENSMUSG00000087417,0,0,2,0,0,0,1,0
ENSMUSG00000085833,8,6,4,7,7,9,5,15
ENSMUSG00000093294,0,0,0,0,0,0,0,0
ENSMUSG00000092848,0,0,0,0,0,0,0,0
ENSMUSG00000080806,5,14,25,18,19,15,6,6
ENSMUSG00000082149,12,22,44,22,9,13,12,30
ENSMUSG00000036856,194,425,693,206,177,246,246,579
ENSMUSG00000006699,495,443,1010,803,766,960,994,831
ENSMUSG00000089199,0,3,0,0,0,2,1,1
ENSMUSG00000101493,12,26,37,28,20,18,28,31
ENSMUSG00000070667,0,0,0,3,0,0,0,2
ENSMUSG00000078520,2,3,0,3,0,0,0,0
ENSMUSG00000023433,0,11,0,3,2,3,0,1
ENSMUSG00000086845,1,2,0,1,0,0,0,0
ENSMUSG00000041399,1,1,0,2,2,2,0,1
ENSMUSG00000028763,1756,1426,3933,2243,2869,3879,3275,2666
ENSMUSG00000099134,0,0,0,0,0,0,0,0
ENSMUSG00000094035,0,7,0,8,8,4,0,0
ENSMUSG00000043411,702,818,1499,792,1134,1179,1113,1362
ENSMUSG00000041351,36,17,36,26,24,33,26,43
ENSMUSG00000087476,0,0,0,2,0,1,0,0
ENSMUSG00000028766,507,184,588,512,699,1451,1348,450
ENSMUSG00000057530,684,999,1696,1241,1203,1490,1469,1460
ENSMUSG00000085823,1,5,2,3,1,4,0,9
ENSMUSG00000028760,1087,732,2723,1828,2379,2223,2661,1865
ENSMUSG00000084804,2,0,0,0,0,0,0,0
ENSMUSG00000098513,0,0,2,5,4,0,5,1
ENSMUSG00000078519,7,3,12,8,4,6,0,1
ENSMUSG00000028759,813,810,2096,958,1360,1404,1516,1505
ENSMUSG00000045349,19,9,27,20,18,34,18,27
ENSMUSG00000028758,21,14,32,17,28,35,7,36
ENSMUSG00000028757,209,210,501,374,260,389,438,473
ENSMUSG00000028756,102,146,282,168,145,224,210,249
ENSMUSG00000099200,0,0,0,0,0,0,0,0
ENSMUSG00000098364,0,0,0,0,0,0,0,0
ENSMUSG00000028755,2,2,0,0,5,3,0,0
ENSMUSG00000078235,5,2,0,0,2,0,0,0
ENSMUSG00000046109,2,0,0,0,0,0,0,0
ENSMUSG00000083326,0,6,0,0,0,4,1,0
ENSMUSG00000041241,87,91,199,111,119,167,126,145
ENSMUSG00000046447,248,303,386,276,388,396,318,442
ENSMUSG00000028753,29,34,1,17,6,14,1,17
ENSMUSG00000088589,0,0,0,0,0,0,1,0
ENSMUSG00000043621,6,8,0,3,6,10,0,7
ENSMUSG00000028750,9,2,0,2,12,5,0,7
ENSMUSG00000028749,3,2,0,10,5,4,0,9
ENSMUSG00000041202,4,3,1,0,0,0,0,2
ENSMUSG00000041193,6,9,2,1,13,5,9,3
ENSMUSG00000087894,2,1,0,0,1,0,0,0
ENSMUSG00000058908,0,0,0,2,0,10,0,1
ENSMUSG00000078518,2,0,0,5,0,0,5,1
ENSMUSG00000028751,3,2,0,1,5,9,1,0
ENSMUSG00000041161,59,64,99,79,62,66,42,99
ENSMUSG00000070661,0,7,0,0,1,2,2,0
ENSMUSG00000041143,45,48,82,45,37,63,54,66
ENSMUSG00000028747,6,3,0,7,1,1,0,4
ENSMUSG00000110296,2,0,1,0,0,0,0,1
ENSMUSG00000041120,125,49,192,21,17,78,36,121
ENSMUSG00000050608,69,58,124,83,87,112,144,71
ENSMUSG00000083238,0,1,0,0,1,0,0,0
ENSMUSG00000073739,12,0,0,7,1,7,3,4
ENSMUSG00000028745,213,192,491,353,334,370,486,412
ENSMUSG00000028744,25,31,92,54,53,64,39,50
ENSMUSG00000028743,22,21,37,17,35,35,43,22
ENSMUSG00000092909,0,0,0,0,0,0,0,0
ENSMUSG00000087943,7,12,5,18,22,17,26,25
ENSMUSG00000083404,0,0,0,0,0,0,3,0
ENSMUSG00000080708,1,4,1,0,3,4,0,7
ENSMUSG00000028741,21,36,52,51,29,56,57,41
ENSMUSG00000078517,265,267,547,329,339,398,428,381
ENSMUSG00000066036,1878,1978,4588,2631,3247,3674,3814,3497
ENSMUSG00000097731,16,14,2,11,6,20,10,8
ENSMUSG00000041025,321,255,610,594,644,690,665,678
ENSMUSG00000094359,0,2,1,0,1,0,4,0
ENSMUSG00000094439,1,3,0,7,4,12,3,11
ENSMUSG00000028737,30,16,30,29,35,30,43,44
ENSMUSG00000098569,0,0,0,0,0,0,0,2
ENSMUSG00000028738,7,17,14,7,15,3,7,11
ENSMUSG00000028736,120,93,97,99,205,267,115,85
ENSMUSG00000087646,0,0,0,0,0,0,0,0
ENSMUSG00000087628,0,2,0,2,2,2,0,0
ENSMUSG00000085928,6,2,0,1,1,0,0,0
ENSMUSG00000078234,9,17,0,15,3,10,1,1
ENSMUSG00000089294,0,0,0,0,0,0,0,0
ENSMUSG00000040972,5,12,0,12,0,11,0,0
ENSMUSG00000085968,2,0,0,1,0,1,0,0
ENSMUSG00000086164,0,0,0,0,0,1,0,0
ENSMUSG00000103107,2,4,0,0,2,1,0,0
ENSMUSG00000087084,0,0,0,2,1,7,3,5
ENSMUSG00000086960,0,0,0,0,0,1,0,0
ENSMUSG00000086437,1,12,0,3,1,2,0,0
ENSMUSG00000085047,1,0,0,0,0,0,0,0
ENSMUSG00000040964,493,572,1189,695,896,800,1032,1076
ENSMUSG00000086159,1,9,0,2,9,0,0,3
ENSMUSG00000095878,0,0,0,0,0,0,0,0
ENSMUSG00000040945,156,162,304,243,189,256,267,202
ENSMUSG00000093071,0,0,0,0,0,0,0,0
ENSMUSG00000040935,7,1,0,9,6,5,0,2
ENSMUSG00000025330,8,20,4,14,6,1,3,15
ENSMUSG00000025328,16,1,0,1,2,1,0,3
ENSMUSG00000085918,11,1,0,1,0,1,3,1
ENSMUSG00000025329,12,14,0,4,9,1,0,4
ENSMUSG00000087045,4,0,0,3,0,4,0,0
ENSMUSG00000028927,21,7,3,21,29,18,4,13
ENSMUSG00000064443,1,2,0,0,0,0,0,0
ENSMUSG00000087698,0,2,0,3,0,0,0,0
ENSMUSG00000009863,68,68,162,102,121,126,148,111
ENSMUSG00000036622,67,62,98,55,72,102,80,117
ENSMUSG00000060572,47,27,112,95,99,100,171,53
ENSMUSG00000040860,161,138,395,211,234,253,233,310
ENSMUSG00000028923,203,247,515,270,367,491,527,469
ENSMUSG00000082246,2,3,0,0,1,1,0,0
ENSMUSG00000045004,2,6,0,3,8,6,0,5
ENSMUSG00000040842,179,179,418,328,291,349,452,312
ENSMUSG00000097620,7,0,2,4,0,0,1,3
ENSMUSG00000028920,122,121,306,157,190,223,284,236
ENSMUSG00000073733,18,17,43,17,15,27,14,20
ENSMUSG00000103366,3,1,0,3,0,3,0,0
ENSMUSG00000028919,34,24,46,28,21,37,38,31
ENSMUSG00000085774,2,2,0,0,0,1,0,2
ENSMUSG00000085395,1,4,3,1,3,0,0,8
ENSMUSG00000006445,285,227,599,359,471,508,500,542
ENSMUSG00000093180,0,0,0,0,0,0,0,0
ENSMUSG00000085836,8,12,0,1,4,4,1,3
ENSMUSG00000084238,0,1,0,0,0,2,0,0
ENSMUSG00000006218,4,3,1,5,0,1,3,1
ENSMUSG00000033770,0,11,0,4,4,3,7,8
ENSMUSG00000086061,4,3,0,4,0,0,0,5
ENSMUSG00000006216,7,7,0,2,1,2,1,0
ENSMUSG00000006221,13,10,5,5,25,4,44,14
ENSMUSG00000070637,6,1,0,1,1,2,1,0
ENSMUSG00000006215,82,92,225,91,120,135,136,113
ENSMUSG00000040761,884,920,2415,1222,1438,1381,1356,1924
ENSMUSG00000048406,15,10,11,11,20,23,34,21
ENSMUSG00000006219,96,88,212,133,173,207,208,178
ENSMUSG00000043085,22,15,45,21,31,19,17,47
ENSMUSG00000073731,2,1,0,2,0,1,0,4
ENSMUSG00000040740,16,8,8,12,9,12,13,29
ENSMUSG00000028917,191,208,520,280,330,362,341,381
ENSMUSG00000078515,505,568,1248,669,792,928,769,1086
ENSMUSG00000040715,0,0,0,0,0,0,0,0
ENSMUSG00000040706,5,5,0,2,2,0,0,3
ENSMUSG00000040697,118,175,270,182,173,272,259,232
ENSMUSG00000028914,82,73,144,144,119,146,167,116
ENSMUSG00000058579,4,5,0,8,1,7,0,0
ENSMUSG00000062478,3,3,0,1,5,0,0,8
ENSMUSG00000086818,0,1,2,0,2,0,0,0
ENSMUSG00000040659,66,111,221,115,99,178,161,194
ENSMUSG00000100396,0,0,0,0,0,2,0,0
ENSMUSG00000085922,0,5,0,0,1,0,0,0
ENSMUSG00000051435,50,26,7,20,26,20,5,24
ENSMUSG00000081079,0,3,0,1,0,0,0,0
ENSMUSG00000085424,4,5,0,4,1,4,0,1
ENSMUSG00000085761,1,0,0,0,1,0,2,0
ENSMUSG00000040616,157,171,413,189,208,277,194,359
ENSMUSG00000085574,41,29,40,19,38,21,8,34
ENSMUSG00000073728,38,67,73,55,52,48,57,78
ENSMUSG00000040606,545,526,1283,717,1014,793,772,1203
ENSMUSG00000087525,0,0,4,2,0,0,1,0
ENSMUSG00000085816,7,7,41,23,27,25,28,35
ENSMUSG00000110067,5,13,1,1,5,1,7,1
ENSMUSG00000103678,0,2,0,0,0,0,0,0
ENSMUSG00000057637,711,588,1663,1092,1240,1315,1098,1375
ENSMUSG00000106597,2,0,6,0,0,0,0,0
ENSMUSG00000081838,2,0,1,1,0,2,0,0
ENSMUSG00000083826,5,4,0,0,6,3,0,10
ENSMUSG00000087903,3,3,0,5,2,0,0,0
ENSMUSG00000082575,3,2,2,2,2,0,2,2
ENSMUSG00000028583,40,65,46,13,20,42,42,41
ENSMUSG00000088395,0,0,0,0,0,0,0,0
ENSMUSG00000028584,4,5,0,0,4,0,0,2
ENSMUSG00000081792,1,16,0,3,15,2,0,4
ENSMUSG00000041805,2,6,1,6,3,4,2,0
ENSMUSG00000082407,7,3,0,2,1,1,0,0
ENSMUSG00000046862,52,36,112,58,55,82,106,77
ENSMUSG00000047799,1,0,0,6,3,0,2,1
ENSMUSG00000083930,7,6,0,6,0,11,1,2
ENSMUSG00000084059,0,0,0,0,0,2,0,0
ENSMUSG00000083403,5,5,0,1,0,0,3,4
ENSMUSG00000095409,0,0,0,0,0,0,0,0
ENSMUSG00000070616,0,0,0,0,0,0,0,0
ENSMUSG00000070618,5,1,0,1,0,4,0,4
ENSMUSG00000096154,0,0,0,0,0,0,0,0
ENSMUSG00000081523,0,0,0,6,0,0,0,0
ENSMUSG00000044377,0,1,0,0,1,0,0,0
ENSMUSG00000066688,13,3,0,3,8,0,0,3
ENSMUSG00000078513,1,4,0,7,2,1,0,3
ENSMUSG00000084351,0,0,0,0,0,0,0,0
ENSMUSG00000081227,6,4,0,7,3,2,4,3
ENSMUSG00000070617,4,1,0,0,2,1,0,0
ENSMUSG00000046435,7,3,0,3,1,6,0,4
ENSMUSG00000082717,0,0,0,0,2,0,0,2
ENSMUSG00000082030,5,7,0,1,6,3,0,4
ENSMUSG00000066031,1,0,0,4,0,2,0,6
ENSMUSG00000059218,6,9,0,3,0,1,0,1
ENSMUSG00000029451,3,7,0,0,0,3,4,1
ENSMUSG00000078512,1,4,0,1,2,4,0,1
ENSMUSG00000083749,0,1,0,0,0,3,0,0
ENSMUSG00000084123,2,3,0,0,3,0,0,3
ENSMUSG00000078511,6,1,0,6,0,2,0,9
ENSMUSG00000078510,3,2,0,4,3,2,1,7
ENSMUSG00000078509,6,6,0,2,0,6,0,3
ENSMUSG00000083456,7,7,0,3,0,1,0,0
ENSMUSG00000095987,4,3,0,3,1,3,0,6
ENSMUSG00000073724,3,2,0,0,2,0,0,3
ENSMUSG00000073723,1,5,0,0,0,1,0,0
ENSMUSG00000050810,0,4,0,0,0,1,0,0
ENSMUSG00000066030,4,2,0,4,2,1,3,3
ENSMUSG00000046262,5,1,0,12,7,1,0,2
ENSMUSG00000083708,1,4,0,0,1,0,0,0
ENSMUSG00000036749,3,6,0,0,0,1,0,2
ENSMUSG00000095960,2,5,0,2,1,7,0,8
ENSMUSG00000080943,4,0,0,3,1,5,4,1
ENSMUSG00000078508,6,3,2,10,2,5,0,0
ENSMUSG00000084312,0,0,0,2,0,1,0,0
ENSMUSG00000070619,9,6,0,4,2,4,0,0
ENSMUSG00000073721,2,2,0,4,0,6,0,1
ENSMUSG00000028591,4,4,0,4,2,3,5,4
ENSMUSG00000028590,0,0,0,2,0,2,0,0
ENSMUSG00000028589,6,3,0,0,3,2,0,0
ENSMUSG00000095213,2,1,0,0,2,3,0,0
ENSMUSG00000078507,6,8,0,6,9,1,0,1
ENSMUSG00000082835,0,0,0,6,0,0,0,3
ENSMUSG00000028593,4,12,0,5,6,10,7,3
ENSMUSG00000083390,2,5,0,2,4,7,0,1
ENSMUSG00000082418,4,6,0,12,2,1,0,0
ENSMUSG00000078506,4,3,0,9,1,0,0,5
ENSMUSG00000070610,0,0,0,3,2,1,5,1
ENSMUSG00000070609,4,3,0,0,0,1,0,2
ENSMUSG00000078505,1,5,0,4,2,0,0,0
ENSMUSG00000041735,9,1,0,0,0,0,0,0
ENSMUSG00000077327,0,0,0,0,0,0,0,0
ENSMUSG00000078504,0,2,0,2,0,0,1,4
ENSMUSG00000083998,5,2,0,7,0,1,0,1
ENSMUSG00000066026,114,196,179,367,353,601,416,209
ENSMUSG00000103911,0,1,1,1,0,0,0,1
ENSMUSG00000020220,945,999,2217,1328,1676,1786,1726,1864
ENSMUSG00000028599,196,320,486,274,326,407,392,451
ENSMUSG00000028602,13,6,0,4,2,2,0,0
ENSMUSG00000082758,3,11,0,8,6,5,5,1
ENSMUSG00000084272,0,0,0,0,0,0,0,0
ENSMUSG00000085101,2,0,0,1,2,0,0,1
ENSMUSG00000082082,4,4,0,0,5,2,5,0
ENSMUSG00000083081,0,0,0,6,2,5,0,0
ENSMUSG00000052912,8,13,2,10,13,6,12,2
ENSMUSG00000087076,0,3,0,0,0,0,1,2
ENSMUSG00000078503,7,0,0,1,5,1,1,2
ENSMUSG00000096864,1,0,0,1,0,0,0,0
ENSMUSG00000082352,6,15,0,8,2,5,1,4
ENSMUSG00000083454,0,0,0,0,0,0,0,1
ENSMUSG00000080732,0,0,0,0,0,0,0,0
ENSMUSG00000078502,4,0,1,2,7,1,0,0
ENSMUSG00000097661,5,0,0,0,0,1,0,0
ENSMUSG00000083562,1,0,0,0,0,0,0,0
ENSMUSG00000081885,11,2,2,15,5,5,2,7
ENSMUSG00000095517,4,4,0,4,0,1,0,2
ENSMUSG00000058186,3,4,0,2,3,0,0,3
ENSMUSG00000082615,15,2,0,7,3,12,3,7
ENSMUSG00000084279,0,0,0,0,0,0,0,0
ENSMUSG00000082334,1,0,0,0,1,2,0,0
ENSMUSG00000087513,0,0,0,0,0,0,0,0
ENSMUSG00000094417,0,0,0,3,1,2,0,1
ENSMUSG00000094177,0,0,0,0,0,0,0,0
ENSMUSG00000084350,23,11,36,21,18,17,16,12
ENSMUSG00000096233,2,6,12,4,12,12,17,4
ENSMUSG00000083235,0,4,0,2,1,1,0,0
ENSMUSG00000078500,4,8,0,9,1,0,0,2
ENSMUSG00000081595,11,10,0,4,2,1,0,2
ENSMUSG00000082195,7,10,0,16,4,18,5,9
ENSMUSG00000083733,1,0,0,0,2,2,0,0
ENSMUSG00000066009,1,2,0,0,0,5,0,0
ENSMUSG00000096958,1,4,0,1,2,1,0,2
ENSMUSG00000066007,2,1,0,0,6,0,0,0
ENSMUSG00000086654,5,8,0,8,0,5,0,1
ENSMUSG00000081522,10,4,1,5,2,0,0,0
ENSMUSG00000081671,0,0,0,0,0,0,0,0
ENSMUSG00000084127,1,0,0,2,0,1,0,0
ENSMUSG00000085525,1,1,3,0,0,3,12,1
ENSMUSG00000081460,0,2,1,1,2,0,0,0
ENSMUSG00000095096,0,0,0,0,0,0,0,0
ENSMUSG00000070605,33,24,19,31,23,25,29,20
ENSMUSG00000073716,9,10,7,13,10,15,1,13
ENSMUSG00000081998,4,1,0,2,3,0,2,4
ENSMUSG00000056300,11,9,0,8,4,13,7,6
ENSMUSG00000096979,1,9,0,4,1,1,0,5
ENSMUSG00000086046,3,1,0,0,2,3,0,0
ENSMUSG00000095865,0,1,0,1,0,2,0,1
ENSMUSG00000083038,3,2,0,1,2,0,0,0
ENSMUSG00000096366,2,4,0,0,5,0,0,0
ENSMUSG00000095460,0,1,0,1,0,0,0,0
ENSMUSG00000063245,2,6,5,2,0,7,7,8
ENSMUSG00000045699,3,3,0,3,0,1,0,5
ENSMUSG00000093919,5,3,0,5,0,0,0,5
ENSMUSG00000083027,5,2,0,2,2,4,8,2
ENSMUSG00000081260,4,1,0,1,0,0,1,1
ENSMUSG00000086147,1,1,0,1,0,0,0,0
ENSMUSG00000097168,10,8,0,7,2,2,1,1
ENSMUSG00000067919,0,4,0,0,0,0,0,5
ENSMUSG00000083704,2,7,0,2,10,0,0,9
ENSMUSG00000093617,11,22,1,36,12,14,11,10
ENSMUSG00000094017,9,14,0,3,8,7,2,2
ENSMUSG00000081405,0,3,2,6,5,0,1,0
ENSMUSG00000082779,3,1,1,2,1,2,2,1
ENSMUSG00000094849,0,0,0,2,0,3,0,0
ENSMUSG00000067916,16,24,45,4,28,17,29,13
ENSMUSG00000097122,9,14,8,8,6,15,32,11
ENSMUSG00000095054,7,0,10,6,9,6,14,13
ENSMUSG00000082176,8,1,0,4,0,1,0,1
ENSMUSG00000087207,9,2,2,8,3,10,4,5
ENSMUSG00000081627,0,2,0,6,4,1,0,7
ENSMUSG00000082925,3,18,0,6,2,2,0,4
ENSMUSG00000094318,12,8,0,2,1,6,0,2
ENSMUSG00000078498,8,3,0,6,3,0,0,1
ENSMUSG00000078497,6,11,0,21,2,4,12,7
ENSMUSG00000096354,1,0,0,0,0,0,0,0
ENSMUSG00000082248,3,9,22,12,9,10,19,6
ENSMUSG00000093975,0,2,3,1,2,3,7,1
