,D786T08,D786T05,D786T07,D786T02,D786T04,D786T03,D786T01,D786T06
ENSMUSG00000102253,1.7,1.49,0,0.47,0.57,0.47,0.78,0.45
ENSMUSG00000093970,27.28,8.71,0,3.01,12.22,0,0,0
ENSMUSG00000103884,0.43,0,0,0,0,0,0,0
ENSMUSG00000084353,0,2,0,1.38,2.8,0,0,0
ENSMUSG00000103933,0,0,0,0,0,0,0,0
ENSMUSG00000076135,0,0,0,6.02,6.11,0,2.09,0
ENSMUSG00000086195,7.36,0,0,0.97,0,2.44,0,0
ENSMUSG00000104504,1.47,0,0,0,0,0,0,2.36
ENSMUSG00000066693,4,2.3,0,0,0,0,0,0
ENSMUSG00000102316,0,0.46,0,0,0,0.53,0,0
ENSMUSG00000103819,0,1.85,0,0,0,4.27,0,0
ENSMUSG00000102871,0.31,0.15,0,0.3,0.21,0.17,0,0.25
ENSMUSG00000101571,2.61,5.99,0,1.04,0.7,0,2.16,1.67
ENSMUSG00000104428,0,0,0,2.08,0,0,0.72,0
ENSMUSG00000102272,3.42,0.41,0,0.28,0,0.71,0,0
ENSMUSG00000065625,0,0,0,0,13.05,2.68,0,0
ENSMUSG00000103411,0,0.34,0,0.71,0.24,0.2,0,0
ENSMUSG00000061024,13.68,17.55,15.24,14.56,17.72,13.08,10.9,9.01
ENSMUSG00000025911,1.32,3.93,0.82,1.84,1.24,2.05,1.89,0.42
ENSMUSG00000079671,2.04,1.76,0,0.67,0.27,0.45,0.14,0.27
ENSMUSG00000081441,0.91,4.35,0.26,1.5,0.3,0.75,0,0
ENSMUSG00000067879,1.08,1.03,0,0.41,0.1,0.76,0,0.33
ENSMUSG00000099827,2.81,1.35,0,0.62,0,1.04,0.86,0
ENSMUSG00000025912,2.22,3.19,2.34,1.96,3.17,2.61,2.17,2.33
ENSMUSG00000045210,18.11,17.35,21.92,18.72,22.13,19.41,16.35,18.7
ENSMUSG00000097893,1.77,2.16,0,0.64,0.33,0.36,0.22,0.43
ENSMUSG00000025915,4.65,4.39,4.7,3.54,3.92,3.73,3.01,4.28
ENSMUSG00000046334,0,2.68,0,0.93,0,0,0,0
ENSMUSG00000088916,0,0,0,0,0,0,0,0
ENSMUSG00000046101,1.01,1.94,1.76,0.78,0.57,0.42,0.43,1.4
ENSMUSG00000098234,10.91,5.85,8.83,8.38,8.21,5.54,10.64,12.6
ENSMUSG00000093178,74.74,49.56,74.33,19.04,19.31,79.37,39.67,36.87
ENSMUSG00000099032,1.19,0.91,1.14,2.84,2.16,2.11,0.99,1.47
ENSMUSG00000104025,0,0,0,0,0.49,1.21,0,0
ENSMUSG00000025916,1.64,0.94,0,0.87,0.22,0.73,0.45,0
ENSMUSG00000087199,2.29,0,0,0,0,1.68,0,0
ENSMUSG00000095780,0,0,0,3.19,0,10.62,0,0
ENSMUSG00000025917,9.7,11.7,10.75,10.47,9.99,9.46,7.45,9.58
ENSMUSG00000056763,11.4,11.35,14.99,9.85,13.84,12.07,10.13,11.57
ENSMUSG00000102356,0,0,0,0,0.37,0,0,0
ENSMUSG00000067851,24.53,23.16,34.6,25.99,28.47,26.68,22.85,29.57
ENSMUSG00000088153,0,0,0,1.38,1.4,0,0,0
ENSMUSG00000102556,2.61,2.5,3.27,3.08,5.27,1.92,0.94,4.04
ENSMUSG00000042501,2.34,3.85,1.44,1.84,1.87,1.49,1.61,2.81
ENSMUSG00000103810,3.46,0.87,0.31,0.97,0.86,0.5,1.09,1.75
ENSMUSG00000083422,1.03,4.94,0.39,0.46,1.62,1.71,1.11,1.1
ENSMUSG00000094979,23.37,8.96,2.63,0,0,0,0,0
ENSMUSG00000081417,1.02,0,0,1.35,0,0.56,0,0
ENSMUSG00000103448,0.26,0.75,0,1.21,0.7,0.29,0,0.14
ENSMUSG00000100212,0.4,1.16,0,0.27,0,0.44,0,0
ENSMUSG00000100648,0,0,0,0,0,0,0,0
ENSMUSG00000088585,0,0,0,0,0,0,0,0
ENSMUSG00000048960,2.02,2.22,0.61,1.32,0.63,1.21,0.26,0.63
ENSMUSG00000077318,0,0,0,0,0,0,0,0
ENSMUSG00000101827,3.29,3.93,0,0.54,0.55,0,0,0
ENSMUSG00000103494,0.82,0.79,0,0.33,0,0.55,0,0.18
ENSMUSG00000057715,0.38,0.52,0,0.51,0.22,0.9,0,0.52
ENSMUSG00000103825,0.61,0,0,0,0,0.11,0.09,0.11
ENSMUSG00000099845,0,7.31,0,0,10.26,2.11,0,0
ENSMUSG00000103561,0.93,0.67,0,0.77,0,0.52,0,0
ENSMUSG00000101610,0,1.65,0,0.76,0,0,0,0
ENSMUSG00000093864,4.67,13.43,0,0,0,0,2.15,0
ENSMUSG00000098555,4.13,0,0,0,0,0,0,2.21
ENSMUSG00000097628,0.62,0,0,0.82,0,0,0,0
ENSMUSG00000098163,0,0,0,1.45,0,0,0,0
ENSMUSG00000097171,0.16,0.75,0,0.21,0.42,0.09,0.22,0.42
ENSMUSG00000101314,1.76,1.12,0,0.78,0,0,0,0
ENSMUSG00000016918,133.66,93.92,143.81,68.06,75.3,58.31,44.8,132.59
ENSMUSG00000025938,0.8,0.36,0.36,0.53,0.72,0.44,0.18,0.57
