,gene_id,gene_name
158,ENSMUSG00000005886,Ncoa2
159,ENSMUSG00000103506,Gm38376
160,ENSMUSG00000103495,Gm37409
161,ENSMUSG00000099183,Gm27881
162,ENSMUSG00000102639,Gm38223
163,ENSMUSG00000104170,Gm37702
164,ENSMUSG00000087782,Gm23169
165,ENSMUSG00000103085,Gm38120
166,ENSMUSG00000102664,Gm38380
167,ENSMUSG00000101476,Gm29570
168,ENSMUSG00000101171,Gm7593
169,ENSMUSG00000025935,Tram1
170,ENSMUSG00000025937,Lactb2
171,ENSMUSG00000102982,Gm38319
172,ENSMUSG00000067813,Xkr9
173,ENSMUSG00000077368,Gm26273
174,ENSMUSG00000097711,Gm5523
175,ENSMUSG00000102166,Gm36947
176,ENSMUSG00000089358,Gm25491
177,ENSMUSG00000104209,Gm37400
178,ENSMUSG00000025932,Eya1
179,ENSMUSG00000095853,Gm22616
180,ENSMUSG00000102588,Gm37444
181,ENSMUSG00000054493,Gm9947
182,ENSMUSG00000025930,Msc
183,ENSMUSG00000103492,Gm37412
184,ENSMUSG00000081201,Smt3h2-ps4
185,ENSMUSG00000082193,Rpl5-ps1
186,ENSMUSG00000032769,Trpa1
187,ENSMUSG00000088159,Gm26345
188,ENSMUSG00000073737,Gm10566
189,ENSMUSG00000092083,Kcnb2
190,ENSMUSG00000102937,Gm38116
191,ENSMUSG00000104149,Gm37138
192,ENSMUSG00000088829,Gm25227
193,ENSMUSG00000077377,Gm25168
194,ENSMUSG00000101652,Gm6060
195,ENSMUSG00000100814,Gm28669
196,ENSMUSG00000025925,Terf1
197,ENSMUSG00000104379,Gm37509
198,ENSMUSG00000032719,Sbspon
199,ENSMUSG00000088943,Gm23259
200,ENSMUSG00000100652,Gm7634
201,ENSMUSG00000067795,4930444P10Rik
202,ENSMUSG00000043716,Rpl7
203,ENSMUSG00000025921,Rdh10
204,ENSMUSG00000104165,Gm38249
205,ENSMUSG00000100868,Gm28095
206,ENSMUSG00000025920,Stau2
207,ENSMUSG00000089982,Gm7568
208,ENSMUSG00000025939,Ube2w
209,ENSMUSG00000102457,Gm38342
210,ENSMUSG00000079658,Eloc
