Yang_Eryth_TF,Yang_Lineage_Eryth,Yang_Granulocyte_TF,Yang_Granulocyte_Lineage,Yang_Lineage_Lymphoid,Yang_Lymphoid_TFs,Yang_Megakaryocyte_Lineage,Yang_Megakaryocyte_TFs,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,WilsonMolO,Tusi_EPO_MPP,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_IFNg_response,Chen_early pre-DC marker,Chen_pre-cDC2 marker,Chen_pre-cDC1 marker,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang_MPP2,Yang_MPP3,Yang_MPP4,Niche,Pia_HSC,Pia_MPP1,Pia_MPP2,Pia_MPP3,Pia_MPP4,Pia_MPP5
,Tbrg4,,Ms4a3,,,,,,,,,,,Ddx4,Rrm1,,,,,,,,,,,,,,,Hnmt,,Mki67,,Rpl3,
,Trip12,,Rab3d,,,,,,,,,,,Nap1l3,Hoxc10,,,,,,,,,,,,,,,Hoxa10,,Mkrn2,,Rpp30,
,BC052040,,Kif2c,,,,,,,,,,,Phf11d,Btbd16,,,,,,,,,,,,,,,Hoxa5,,Mms22l,,Rps2,
,Ccdc137,,Pex1,,,,,,,,,,,Tcf7,Ndufv1,,,,,,,,,,,,,,,Hoxb2,,Mnd1,,Rtp4,
,Nxf1,,Parvg,,,,,,,,,,,Arhgap28,Chek2,,,,,,,,,,,,,,,Hoxb3,,Mns1,,Runx2,
,Ipo9,,Ube2g2,,,,,,,,,,,Islr,Alx4,,,,,,,,,,,,,,,Hoxb4,,Mogs,,Saal1,
,Sf3b3,,Tmsb4x,,,,,,,,,,,8430408G22Rik,Mrpl14,,,,,,,,,,,,,,,Hoxb5,,Mphosph9,,Samsn1,
,Hk1,,Arhgap1,,,,,,,,,,,1500009L16Rik,4930483J18Rik,,,,,,,,,,,,,,,Hoxb6,,Mre11a,,Satb1,
,Zfp397,,Nek9,,,,,,,,,,,,1810035L17Rik,,,,,,,,,,,,,,,Hoxb7,,Mrpl14,,Scpep1,
,Aars,,Nudt4,,,,,,,,,,,,Dpysl4,,,,,,,,,,,,,,,Hoxb8,,Mrpl18,,Sdhb,
,,,Ap2b1,,,,,,,,,,,,A930038C07Rik,,,,,,,,,,,,,,,Hoxc6,,Mrps17,,Selenoh,
,,,Sell,,,,,,,,,,,,1700008O03Rik,,,,,,,,,,,,,,,Hoxc8,,Mrps23,,Selplg,
,,,Ncoa7,,,,,,,,,,,,S1pr5,,,,,,,,,,,,,,,Hs3st1,,Mrps25,,Sema3d,
,,,Nr2c1,,,,,,,,,,,,Slc29a4,,,,,,,,,,,,,,,Hsd17b10,,Msrb1,,Sep-01,
,,,Cyba,,,,,,,,,,,,Col10a1,,,,,,,,,,,,,,,Htatsf1,,Mta3,,Sep-06,
,,,Asb8,,,,,,,,,,,,Cdk3,,,,,,,,,,,,,,,Ick,,Mtch2,,Sesn1,
,,,Itgb5,,,,,,,,,,,,EG546797,,,,,,,,,,,,,,,Ier2,,Mtfr2,,Sf3b2,
,,,Gng12,,,,,,,,,,,,Banp,,,,,,,,,,,,,,,Ier3,,Mthfd1,,Sgk3,
,,,Tnfrsf1a,,,,,,,,,,,,Dph1,,,,,,,,,,,,,,,Ier5,,Mthfd1l,,Sgpl1,
,,,Lsm4,,,,,,,,,,,,Olfr711,,,,,,,,,,,,,,,Ifi44,,Mtpn,,Sh2d1b1,
,,,Ifnar2,,,,,,,,,,,,BC048671,,,,,,,,,,,,,,,Ifih1,,Muc13,,Sh3bgrl3,
,,,Ppp1r8,,,,,,,,,,,,Pitx1,,,,,,,,,,,,,,,Ifit1,,Mybl2,,Siglecg,
,,,Cdc42se2,,,,,,,,,,,,ENSMUSG00000074383,,,,,,,,,,,,,,,Ifitm1,,Naa50,,Skp2,
,,,Tnfaip1,,,,,,,,,,,,H6pd,,,,,,,,,,,,,,,Ifitm3,,Naf1,,Slc16a11,
,,,Tubb6,,,,,,,,,,,,Acsl6,,,,,,,,,,,,,,,Ifitm7,,Nap1l1,,Slc18a1,
,,,Il6st,,,,,,,,,,,,Nhedc1,,,,,,,,,,,,,,,Ifrd1,,Narf,,Slc26a11,
,,,Man2b1,,,,,,,,,,,,Cd9,,,,,,,,,,,,,,,Ift20,,Nasp,,Slc29a1,
,,,Tfpi,,,,,,,,,,,,Scarf2,,,,,,,,,,,,,,,Igdcc4,,Nat10,,Slc29a3,
,,,Eif2c1,,,,,,,,,,,,Commd4,,,,,,,,,,,,,,,Igf1,,Ncapd2,,Slc35d3,
,,,Smn1,,,,,,,,,,,,Taar7e,,,,,,,,,,,,,,,Igf1r,,Ncapg,,Slc39a11,
,,,Tbl2,,,,,,,,,,,,Doc2g,,,,,,,,,,,,,,,Igf2,,Ncapg2,,Slc39a6,
,,,Vps13c,,,,,,,,,,,,Pmf1,,,,,,,,,,,,,,,Igf2bp2,,Ncaph2,,Slc39a8,
,,,Psen1,,,,,,,,,,,,Lypla1,,,,,,,,,,,,,,,Igsf3,,Ncbp1,,Slc43a2,
,,,Cep68,,,,,,,,,,,,Oscar,,,,,,,,,,,,,,,Igtp,,Ncl,,Slc44a2,
,,,Tmem110,,,,,,,,,,,,Tasp1,,,,,,,,,,,,,,,Iigp1,,Ndor1,,Slc4a7,
,,,Pygl,,,,,,,,,,,,Cblc,,,,,,,,,,,,,,,Ikbke,,Ndufa3,,Slc9a9,
,,,Anxa2,,,,,,,,,,,,A830039N20Rik,,,,,,,,,,,,,,,Ikzf4,,Ndufaf2,,Smad7,
,,,Pak1,,,,,,,,,,,,Gpr77,,,,,,,,,,,,,,,Il11ra1,,Ndufaf4,,Smarca4,
,,,Snrpg,,,,,,,,,,,,Olfr812,,,,,,,,,,,,,,,Il15ra,,Ndufaf6,,Smim14,
,,,B4galt5,,,,,,,,,,,,BC100530,,,,,,,,,,,,,,,Il21r,,Ndufb10,,Snn,
,,,Ogt,,,,,,,,,,,,Flywch1,,,,,,,,,,,,,,,Il4ra,,Ndufb5,,Snx30,
,,,Pdzd8,,,,,,,,,,,,Nppa,,,,,,,,,,,,,,,Impact,,Ndufb6,,Sorl1,
,,,Klhl18,,,,,,,,,,,,EG213320,,,,,,,,,,,,,,,Inf2,,Ndufb8,,Sox12,
,,,Fli1,,,,,,,,,,,,9530048O09Rik,,,,,,,,,,,,,,,Inha,,Ndufc1,,Sox4,
,,,Cyld,,,,,,,,,,,,Aqp12,,,,,,,,,,,,,,,Inhba,,Ndufv2,,Spag5,
,,,Eif4ebp2,,,,,,,,,,,,Reep4,,,,,,,,,,,,,,,Insr,,Neil3,,Spdl1,
,,,Erlin2,,,,,,,,,,,,Rab17,,,,,,,,,,,,,,,Insrr,,Nelfcd,,Spi1,
,,,Golt1b,,,,,,,,,,,,Acot10  // Acot10,,,,,,,,,,,,,,,Ip6k1,,Nelfe,,Spint1,
,,,Tmed3,,,,,,,,,,,,Zic2,,,,,,,,,,,,,,,Irf1,,Nhp2,,Sqor,
,,,Mknk1,,,,,,,,,,,,LOC240657,,,,,,,,,,,,,,,Irf2,,Nlk,,Srp68,
,,,Abr,,,,,,,,,,,,Tnk2,,,,,,,,,,,,,,,Irf6,,Noc4l,,Srpk1,
,,,Rrs1,,,,,,,,,,,,Tas2r139,,,,,,,,,,,,,,,Irf9,,Nol4l,,Srpk2,
,,,Zcchc8,,,,,,,,,,,,Clec2d,,,,,,,,,,,,,,,Irgm2,,Nolc1,,Ssh2,
,,,Nfam1,,,,,,,,,,,,Krt83,,,,,,,,,,,,,,,Islr,,Nomo1,,St8sia1,
,,,Mgea5,,,,,,,,,,,,Tsks,,,,,,,,,,,,,,,Itga5,,Nop56,,St8sia4,
,,,Ndufs1,,,,,,,,,,,,Aaas,,,,,,,,,,,,,,,Itih5,,Nsf,,Stk10,
,,,Btk,,,,,,,,,,,,ENSMUSG00000056615,,,,,,,,,,,,,,,Itsn1,,Nsl1,,Stk17b,
,,,Opa1,,,,,,,,,,,,Lrrc57,,,,,,,,,,,,,,,Jag1,,Nsun2,,Stxbp4,
,,,Fkbp1a,,,,,,,,,,,,Cdk4,,,,,,,,,,,,,,,Jam2,,Nt5dc2,,Sun2,
,,,Slc41a1,,,,,,,,,,,,1190003M12Rik,,,,,,,,,,,,,,,Jam3,,Nucb1,,Sv2a,
,,,Trim21,,,,,,,,,,,,Has1,,,,,,,,,,,,,,,Jazf1,,Nucks1,,Tapt1,
,,,Rab27a,,,,,,,,,,,,EG216081,,,,,,,,,,,,,,,Jrkl,,Nudt3,,Tbc1d10c,
,,,Mrps2,,,,,,,,,,,,BC014805,,,,,,,,,,,,,,,Kalrn,,Nudt7,,Tbxa2r,
,,,Ankrd40,,,,,,,,,,,,Fbxo10,,,,,,,,,,,,,,,Kank1,,Nuf2,,Tcf19,
,,,Rnpep,,,,,,,,,,,,Krt13,,,,,,,,,,,,,,,Kat6b,,Nup205,,Tcf4,
,,,Sdhd,,,,,,,,,,,,Sdsl,,,,,,,,,,,,,,,Kazald1,,Nup43,,Tcf7l2,
,,,Tor1a,,,,,,,,,,,,Ribc2,,,,,,,,,,,,,,,Kcnk5,,Nup50,,Tedc1,
,,,Shmt1,,,,,,,,,,,,Hmgcs2,,,,,,,,,,,,,,,Kctd17,,Nup85,,Tep1,
,,,Lhfpl2,,,,,,,,,,,,Rnf216,,,,,,,,,,,,,,,Khdc4,,Nup93,,Tes,
,,,Hk2,,,,,,,,,,,,Slc9a1,,,,,,,,,,,,,,,Khk,,Nusap1,,Tespa1,
,,,Tbc1d10b,,,,,,,,,,,,Tmbim6,,,,,,,,,,,,,,,Kif1c,,Nxf1,,Tgif1,
,,,Irak1,,,,,,,,,,,,Prr15,,,,,,,,,,,,,,,Kif21a,,Nxn,,Thsd1,
,,,Ints3,,,,,,,,,,,,Tyms,,,,,,,,,,,,,,,Kif3a,,Nxt1,,Tia1,
,,,Glud1,,,,,,,,,,,,Igsf5,,,,,,,,,,,,,,,Kif9,,Odf2,,Ticrr,
,,,Tspan14,,,,,,,,,,,,Ncam2,,,,,,,,,,,,,,,Klf6,,Optn,,Tle3,
,,,Suox,,,,,,,,,,,,Olfr284,,,,,,,,,,,,,,,Klf9,,Osbpl8,,Tlr7,
,,,St14,,,,,,,,,,,,Ndufa11,,,,,,,,,,,,,,,Klhdc8b,,Oxct1,,Tmem107,
,,,Mib1,,,,,,,,,,,,Poln,,,,,,,,,,,,,,,Klhl13,,P2ry1,,Tmem109,
,,,Ctsc,,,,,,,,,,,,Cyp2u1,,,,,,,,,,,,,,,Klrb1c,,Paics,,Tmem173,
,,,Epc2,,,,,,,,,,,,Tenc1,,,,,,,,,,,,,,,Kmt2a,,Pam16,,Tmem184c,
,,,Nme3,,,,,,,,,,,,Krtap31-2,,,,,,,,,,,,,,,Kmt5b,,Parpbp,,Tmem229b,
,,,Ddx18,,,,,,,,,,,,Nlrp4b,,,,,,,,,,,,,,,Krba1,,Pask,,Tmem268,
,,,Ptprc,,,,,,,,,,,,Bhmt2,,,,,,,,,,,,,,,Krt18,,Pbdc1,,Tmem43,
,,,Eif4enif1,,,,,,,,,,,,4930431F12Rik,,,,,,,,,,,,,,,Ktn1,,Pbk,,Tmprss3,
,,,Dbt,,,,,,,,,,,,EG406223,,,,,,,,,,,,,,,Kyat1,,Pcbd2,,Tmsb10,
,,,Atf4,,,,,,,,,,,,C9,,,,,,,,,,,,,,,Lamtor3,,Pcbp3,,Tnfaip1,
,,,Rab5b,,,,,,,,,,,,Adcy9,,,,,,,,,,,,,,,Lancl3,,Pcmt1,,Tnfaip8,
,,,Phf21a,,,,,,,,,,,,EG623114,,,,,,,,,,,,,,,Large2,,Pcnt,,Tnfrsf26,
,,,Ccdc127,,,,,,,,,,,,Ascl1,,,,,,,,,,,,,,,Larp1b,,Pdap1,,Tnrc18,
,,,Rspry1,,,,,,,,,,,,Atp5g2,,,,,,,,,,,,,,,Lcp2,,Pdcd4,,Tpm4,
,,,Ndst1,,,,,,,,,,,,Sgtb,,,,,,,,,,,,,,,Ldb2,,Pde10a,,Tpr,
,,,Cpsf4,,,,,,,,,,,,Kif15,,,,,,,,,,,,,,,Leprot,,Pde5a,,Trappc13,
,,,Parp14,,,,,,,,,,,,Nxph2,,,,,,,,,,,,,,,Letm2,,Pdzph1,,Trf,
,,,Cdc42ep4,,,,,,,,,,,,EG436003,,,,,,,,,,,,,,,Lgr4,,Pf4,,Trim16,
,,,Coro2a,,,,,,,,,,,,Ppil4,,,,,,,,,,,,,,,Lhcgr,,Pfas,,Trim26,
,,,BC005764,,,,,,,,,,,,Bmp2k,,,,,,,,,,,,,,,Lima1,,Phb2,,Trit1,
,,,Brpf1,,,,,,,,,,,,Adam34,,,,,,,,,,,,,,,Lmbrd1,,Pheta2,,Trp53i11,
,,,Mrps25,,,,,,,,,,,,Gstk1,,,,,,,,,,,,,,,Lmo2,,Phka2,,Tspan13,
,,,Ndufa8,,,,,,,,,,,,V1rb3,,,,,,,,,,,,,,,Lpar4,,Pif1,,Tspan2,
,,,Lmo4,,,,,,,,,,,,Prg3,,,,,,,,,,,,,,,Lpar6,,Pih1d1,,Tspan6,
,,,Mical1,,,,,,,,,,,,BC046404,,,,,,,,,,,,,,,Lpp,,Pimreg,,Ttc13,
,,,Ugdh,,,,,,,,,,,,Acsm3,,,,,,,,,,,,,,,Lrrc8a,,Pitpnc1,,Txnrd1,
,,,Ints9,,,,,,,,,,,,Lsm2,,,,,,,,,,,,,,,Lrrn4,,Plek,,Ubash3a,
,,,Emb,,,,,,,,,,,,Aldh2,,,,,,,,,,,,,,,Lsr,,Plk1,,Ubl3,
,,,Cited2,,,,,,,,,,,,Fam131a,,,,,,,,,,,,,,,Lst1,,Plk4,,Uchl1,
,,,Mtap4,,,,,,,,,,,,Ywhah,,,,,,,,,,,,,,,Ltb,,Plxdc1,,Unc93b1,
,,,Nxn,,,,,,,,,,,,Kcnj10,,,,,,,,,,,,,,,Ltbr,,Pmf1,,Usp11,
,,,Enoph1,,,,,,,,,,,,LOC636082,,,,,,,,,,,,,,,Luzp2,,Pms2,,Usp22,
,,,Uqcc,,,,,,,,,,,,Gtrgeo22,,,,,,,,,,,,,,,Ly6a,,Pola1,,Ust,
,,,Mpp1,,,,,,,,,,,,Mif,,,,,,,,,,,,,,,Madd,,Pola2,,Utp14a,
,,,Tmem38b,,,,,,,,,,,,Fam71a,,,,,,,,,,,,,,,Maff,,Pold1,,Vamp1,
,,,Rad54l,,,,,,,,,,,,EG668059,,,,,,,,,,,,,,,Mafg,,Pold2,,Vav3,
,,,Stt3a,,,,,,,,,,,,BC051019,,,,,,,,,,,,,,,Maged1,,Poldip3,,Vldlr,
,,,Lyst,,,,,,,,,,,,Fgfr2,,,,,,,,,,,,,,,Maged2,,Pole,,Wbp1,
,,,Myo5a,,,,,,,,,,,,Fbxo40,,,,,,,,,,,,,,,Mageh1,,Pole2,,Wdfy4,
,,,Dclre1b,,,,,,,,,,,,Npy,,,,,,,,,,,,,,,Magi1,,Polq,,Wfdc18,
,,,Rnf166,,,,,,,,,,,,Rab40b,,,,,,,,,,,,,,,Malat1,,Polr2j,,Xkr5,
,,,Flii,,,,,,,,,,,,Ccdc64b,,,,,,,,,,,,,,,Mamdc2,,Polr3d,,Xpc,
,,,6720463M24Rik,,,,,,,,,,,,B230307C23Rik,,,,,,,,,,,,,,,Map1lc3a,,Pop1,,Xpo1,
,,,Pola2,,,,,,,,,,,,Nat6,,,,,,,,,,,,,,,Map1lc3b,,Ppfia1,,Xrcc6,
,,,Fkrp,,,,,,,,,,,,Ankrd43,,,,,,,,,,,,,,,Map3k8,,Ppih,,Ypel1,
,,,Sort1,,,,,,,,,,,,2810410L24Rik,,,,,,,,,,,,,,,Map9,,Ppm1b,,Zdhhc20,
,,,Smad4,,,,,,,,,,,,Il17d,,,,,,,,,,,,,,,Mapk12,,Ppm1g,,Zdhhc3,
,,,Wsb1,,,,,,,,,,,,Nhs,,,,,,,,,,,,,,,Mapk13,,Pradc1,,Zfp131,
,,,0610007L01Rik,,,,,,,,,,,,4930518I15Rik,,,,,,,,,,,,,,,Mapk1ip1,,Prc1,,Zfp422,
,,,Taf6,,,,,,,,,,,,Ankrd35,,,,,,,,,,,,,,,Mapkapk3,,Prelid3b,,Zfp608,
,,,P4ha1,,,,,,,,,,,,Gbx1,,,,,,,,,,,,,,,Marveld1,,Prim1,,Zfp706,
,,,Wdr41,,,,,,,,,,,,EG382450,,,,,,,,,,,,,,,Mast4,,Prim2,,Zmiz1,
,,,Dtx4,,,,,,,,,,,,Alg8,,,,,,,,,,,,,,,Mboat2,,Prkab1,,Znrf1,
,,,2610318N02Rik,,,,,,,,,,,,EG625347,,,,,,,,,,,,,,,Mctp1,,Prkar2b,,,
,,,Cnn3,,,,,,,,,,,,Leprotl1,,,,,,,,,,,,,,,Mcur1,,Prkca,,,
,,,Ptger4,,,,,,,,,,,,Olfr670,,,,,,,,,,,,,,,Mecom,,Prps1,,,
,,,Zfp512,,,,,,,,,,,,EG621842,,,,,,,,,,,,,,,Med12l,,Prr11,,,
,,,Gspt2,,,,,,,,,,,,EG236622,,,,,,,,,,,,,,,Meg3,,Psat1,,,
,,,Slc10a7,,,,,,,,,,,,EG665936,,,,,,,,,,,,,,,Meis1,,Psd3,,,
,,,Xpo7,,,,,,,,,,,,Eml1,,,,,,,,,,,,,,,Meis2,,Psip1,,,
,,,Mtus1,,,,,,,,,,,,Dtymk,,,,,,,,,,,,,,,Mettl18,,Psma7,,,
,,,Pcgf5,,,,,,,,,,,,Relb,,,,,,,,,,,,,,,Mettl27,,Psmb3,,,
,,,Abhd13,,,,,,,,,,,,Mia2,,,,,,,,,,,,,,,Mettl7a1,,Psmb5,,,
,,,Nhlrc2,,,,,,,,,,,,1110006G06Rik,,,,,,,,,,,,,,,Mfap2,,Psmc3,,,
,,,Cd34,,,,,,,,,,,,Olfr835,,,,,,,,,,,,,,,Mfhas1,,Psmc3ip,,,
,,,Rnaset2a,,,,,,,,,,,,Larp6,,,,,,,,,,,,,,,Mfng,,Psmc5,,,
,,,Abcd1,,,,,,,,,,,,Gpr143,,,,,,,,,,,,,,,Mfsd6,,Psmd1,,,
,,,Slc7a6os,,,,,,,,,,,,Agxt2l1,,,,,,,,,,,,,,,Mgrn1,,Psmd14,,,
,,,Atxn2l,,,,,,,,,,,,Asb12,,,,,,,,,,,,,,,Mier2,,Psmd8,,,
,,,Pdia4,,,,,,,,,,,,Dmrt2,,,,,,,,,,,,,,,Mllt3,,Psme3,,,
,,,Snrpc,,,,,,,,,,,,Lgtn,,,,,,,,,,,,,,,Mllt6,,Psmg3,,,
,,,Pgam1,,,,,,,,,,,,Mylk4,,,,,,,,,,,,,,,Mlph,,Psrc1,,,
,,,Adssl1,,,,,,,,,,,,Olfr1113,,,,,,,,,,,,,,,Mmp16,,Ptbp3,,,
,,,Wdr48,,,,,,,,,,,,Mospd4,,,,,,,,,,,,,,,Morc4,,Ptpn11,,,
,,,Uso1,,,,,,,,,,,,LOC100039801,,,,,,,,,,,,,,,Mpdz,,Ptpn12,,,
,,,Galnt6,,,,,,,,,,,,Prl6a1,,,,,,,,,,,,,,,Mpg,,Ptpn7,,,
,,,Mapkapk3,,,,,,,,,,,,EG665751,,,,,,,,,,,,,,,Mpl,,Ptrh2,,,
,,,Lgals1,,,,,,,,,,,,Bub3,,,,,,,,,,,,,,,Mpp5,,Pxmp2,,,
,,,Mgl2,,,,,,,,,,,,Chchd5  // Chchd5,,,,,,,,,,,,,,,Mpp6,,Rab11a,,,
,,,Osbp,,,,,,,,,,,,Itga2b,,,,,,,,,,,,,,,Mpped2,,Rab27b,,,
,,,Dis3l2,,,,,,,,,,,,Olfr1155,,,,,,,,,,,,,,,Mpv17,,Rab37,,,
,,,Tbc1d7,,,,,,,,,,,,Krt17,,,,,,,,,,,,,,,Mpzl1,,Rabgap1l,,,
,,,Epb4.1l2,,,,,,,,,,,,Ndufb3,,,,,,,,,,,,,,,Mrpl52,,Racgap1,,,
,,,Swap70,,,,,,,,,,,,Pla2g12b,,,,,,,,,,,,,,,Ms4a6b,,Rad18,,,
,,,Araf,,,,,,,,,,,,EG665957,,,,,,,,,,,,,,,Msrb2,,Rad21,,,
,,,Pdcd6ip,,,,,,,,,,,,Romo1,,,,,,,,,,,,,,,Mtfr1l,,Rad50,,,
,,,Nsf,,,,,,,,,,,,Tsp50,,,,,,,,,,,,,,,Mthfr,,Rad51,,,
,,,Dio2,,,,,,,,,,,,Gfra4,,,,,,,,,,,,,,,Mtmr3,,Rad51ap1,,,
,,,Mgat4b,,,,,,,,,,,,Gale,,,,,,,,,,,,,,,Mtss2,,Rad54b,,,
,,,Siglec5,,,,,,,,,,,,LOC629364,,,,,,,,,,,,,,,Mttp,,Radx,,,
,,,Spna2,,,,,,,,,,,,Sfxn2,,,,,,,,,,,,,,,Mtx3,,Ralgps2,,,
,,,Rpl36al,,,,,,,,,,,,Cenpf,,,,,,,,,,,,,,,Mvp,,Ran,,,
,,,Gatad2b,,,,,,,,,,,,Iqcd,,,,,,,,,,,,,,,Mycn,,Rangap1,,,
,,,Prkcd,,,,,,,,,,,,EG236749,,,,,,,,,,,,,,,Myct1,,Rbm14,,,
,,,Hip1,,,,,,,,,,,,Gpr39,,,,,,,,,,,,,,,Myh10,,Rbm8a,,,
,,,Tceb3,,,,,,,,,,,,Cyp4x1,,,,,,,,,,,,,,,Myl10,,Rbmx2,,,
,,,Rnf125,,,,,,,,,,,,U2af1,,,,,,,,,,,,,,,Myl6,,Reep2,,,
,,,Naglu,,,,,,,,,,,,K230010J24Rik,,,,,,,,,,,,,,,Mylk,,Rfc1,,,
,,,Slc25a46,,,,,,,,,,,,OTTMUSG00000003802,,,,,,,,,,,,,,,Myo1d,,Rfc3,,,
,,,Reep5,,,,,,,,,,,,Bat1a,,,,,,,,,,,,,,,Myo5c,,Rgs10,,,
,,,Zmynd11,,,,,,,,,,,,Fthl17,,,,,,,,,,,,,,,Myo6,,Rgs12,,,
,,,AA960436,,,,,,,,,,,,Uroc1,,,,,,,,,,,,,,,Myof,,Rgs18,,,
,,,Gtf2a1,,,,,,,,,,,,Vcl,,,,,,,,,,,,,,,Myom1,,Rhno1,,,
,,,Il1rl2,,,,,,,,,,,,Hoxa11,,,,,,,,,,,,,,,Nabp1,,Rif1,,,
,,,Commd5,,,,,,,,,,,,Ncapd2,,,,,,,,,,,,,,,Nadk2,,Ripor1,,,
,,,Map3k4,,,,,,,,,,,,Dmd,,,,,,,,,,,,,,,Naip5,,Rnaseh2a,,,
,,,Ptpra,,,,,,,,,,,,Etnk2,,,,,,,,,,,,,,,Naip6,,Rnf168,,,
,,,Gins2,,,,,,,,,,,,Eif3k,,,,,,,,,,,,,,,Nav2,,Rnf19a,,,
,,,St13,,,,,,,,,,,,Sfmbt1,,,,,,,,,,,,,,,Nbea,,Rngtt,,,
,,,Mdn1,,,,,,,,,,,,EG433481,,,,,,,,,,,,,,,Nbeal2,,Robo3,,,
,,,Nub1,,,,,,,,,,,,Olfr790,,,,,,,,,,,,,,,Nbr1,,Romo1,,,
,,,Dyrk2,,,,,,,,,,,,Gm414,,,,,,,,,,,,,,,Ncam2,,Rpa2,,,
,,,Park7,,,,,,,,,,,,Galr1,,,,,,,,,,,,,,,Ncor2,,Rpia,,,
,,,S100a1,,,,,,,,,,,,Plac1,,,,,,,,,,,,,,,Ndel1,,Rpl29,,,
,,,Ubap2l,,,,,,,,,,,,Lancl2,,,,,,,,,,,,,,,Ndnf,,Rpn1,,,
,,,B4galt4,,,,,,,,,,,,Aox4,,,,,,,,,,,,,,,Ndrg2,,Rps24,,,
,,,Golga5,,,,,,,,,,,,Clec4f,,,,,,,,,,,,,,,Nectin4,,Rpsa,,,
,,,Gpld1,,,,,,,,,,,,Gdf6,,,,,,,,,,,,,,,Neil2,,Rrm1,,,
,,,Dsn1,,,,,,,,,,,,Sh3glb2,,,,,,,,,,,,,,,Neo1,,Rspry1,,,
,,,Gys1,,,,,,,,,,,,Ssr1,,,,,,,,,,,,,,,Net1,,Runx3,,,
,,,Psmd4,,,,,,,,,,,,Tmem28,,,,,,,,,,,,,,,Neurl3,,S100a1,,,
,,,Paqr8,,,,,,,,,,,,Asl,,,,,,,,,,,,,,,Nfat5,,S100a10,,,
,,,Lcmt1,,,,,,,,,,,,Cenpn,,,,,,,,,,,,,,,Nfatc2,,S1pr2,,,
,,,Dgcr8,,,,,,,,,,,,Nfkbie,,,,,,,,,,,,,,,Nfe2,,Sae1,,,
,,,Tmem43,,,,,,,,,,,,Hist1h2be,,,,,,,,,,,,,,,Nfe2l1,,Samd14,,,
,,,Ticam2,,,,,,,,,,,,Aacs,,,,,,,,,,,,,,,Nfia,,Sdsl,,,
,,,Rhob,,,,,,,,,,,,BC062109,,,,,,,,,,,,,,,Nfkbia,,Sec11c,,,
,,,Dis3,,,,,,,,,,,,1700024B05Rik,,,,,,,,,,,,,,,Nipsnap2,,Sec22c,,,
,,,Hmbox1,,,,,,,,,,,,ENSMUSG00000037438,,,,,,,,,,,,,,,Nkx2-3,,Secisbp2,,,
,,,Zfp161,,,,,,,,,,,,Dnaic2,,,,,,,,,,,,,,,Nlrc5,,Sema4d,,,
,,,9030617O03Rik,,,,,,,,,,,,Osr2,,,,,,,,,,,,,,,Nod1,,Sep-07,,,
,,,As3mt,,,,,,,,,,,,Bola3,,,,,,,,,,,,,,,Nos1ap,,Sep-08,,,
,,,Atp2a2,,,,,,,,,,,,Ankrd9,,,,,,,,,,,,,,,Notch3,,Serinc3,,,
,,,Cnot8,,,,,,,,,,,,Hmgb3,,,,,,,,,,,,,,,Nova1,,Serpinb10,,,
,,,Rrm2,,,,,,,,,,,,4930412F15Rik,,,,,,,,,,,,,,,Npas3,,Sf3b3,,,
,,,S100pbp,,,,,,,,,,,,Prox1,,,,,,,,,,,,,,,Npdc1,,Sf3b4,,,
,,,Rwdd2b,,,,,,,,,,,,Moxd1,,,,,,,,,,,,,,,Npr2,,Sf3b6,,,
,,,Mmd,,,,,,,,,,,,Pigl,,,,,,,,,,,,,,,Nr1d2,,Sfpq,,,
,,,Tle1,,,,,,,,,,,,Thap3,,,,,,,,,,,,,,,Nrk,,Sfxn1,,,
,,,Arpc1b,,,,,,,,,,,,Ccdc103,,,,,,,,,,,,,,,Nrxn1,,Sfxn2,,,
,,,Bace1,,,,,,,,,,,,Tssk3,,,,,,,,,,,,,,,Nsg1,,Sgo1,,,
,,,Ap4m1,,,,,,,,,,,,Helt,,,,,,,,,,,,,,,Nsmaf,,Sgo2a,,,
,,,Hsdl2,,,,,,,,,,,,Cap2,,,,,,,,,,,,,,,Nsmf,,Shmt2,,,
,,,Abcc4,,,,,,,,,,,,Olfr668,,,,,,,,,,,,,,,Nsun7,,Shq1,,,
,,,Cnksr3,,,,,,,,,,,,Ldlrad1,,,,,,,,,,,,,,,Nt5c3,,Ska1,,,
,,,Clns1a,,,,,,,,,,,,Zwilch,,,,,,,,,,,,,,,Nxnl2,,Ska3,,,
,,,Cdc23,,,,,,,,,,,,Zfp518b,,,,,,,,,,,,,,,Oas1b,,Sla,,,
,,,Rnf113a2,,,,,,,,,,,,Car4,,,,,,,,,,,,,,,Obscn,,Slc11a2,,,
,,,Nedd9,,,,,,,,,,,,Yipf1,,,,,,,,,,,,,,,Obsl1,,Slc14a1,,,
,,,Dhx33,,,,,,,,,,,,Hist1h1b,,,,,,,,,,,,,,,Ocln,,Slc20a1,,,
,,,Tbc1d2b,,,,,,,,,,,,EG231836,,,,,,,,,,,,,,,Ocrl,,Slc22a3,,,
,,,Med13,,,,,,,,,,,,Nr1i2,,,,,,,,,,,,,,,Ogt,,Slc37a4,,,
