Yang_Eryth_TF,Yang_Lineage_Eryth,Yang_Granulocyte_TF,Yang_Granulocyte_Lineage,Yang_Lineage_Lymphoid,Yang_Lymphoid_TFs,Yang_Megakaryocyte_Lineage,Yang_Megakaryocyte_TFs,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,WilsonMolO,Tusi_EPO_MPP,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_IFNg_response,Chen_early pre-DC marker,Chen_pre-cDC2 marker,Chen_pre-cDC1 marker,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang_MPP2,Yang_MPP3,Yang_MPP4,Niche,Pia_HSC,Pia_MPP1,Pia_MPP2,Pia_MPP3,Pia_MPP4,Pia_MPP5
,Anp32e,,Ide,Gcnt2,,,,,,,,,,Dhdh,Hnrnpa0,Nrp2,Tspan6,,,,,Mdh2,,,,,,,,Fam171a1,,Gtf3c5,,Mier3,
,Pcm1,,Lactb2,Pak2,,,,,,,,,,3110001I22Rik,Htr3a,,,,,,,Hist1h2ah,,,,,,,,Fam171b,,Gtpbp1,,Milr1,
,Uqcrc1,,Ftsj2,Capn2,,,,,,,,,,Magi2,Litaf,,,,,,,Hist1h2ab,,,,,,,,Fam174a,,H1f5,,Mllt11,
,Nqo2,,Rtn4ip1,Atp8b2,,,,,,,,,,Rbm18,G730046D07Rik,,,,,,,Gnb2l1,,,,,,,,Fam174b,,H2ac11,,Mmd,
,Clybl,,Atp2b1,Itpr1,,,,,,,,,,Tmem198b,EG383032  // EG383032,,,,,,,Pdcd5,,,,,,,,Fam210b,,H2ax,,Mn1,
,Scamp3,,Snrpd2,Fgr,,,,,,,,,,Zfp287,Slc2a4,,,,,,,Fxn,,,,,,,,Fam241b,,H2az2,,Mndal,
,Rab4a,,Cry1,Npepps,,,,,,,,,,Tcf7l1,Mepe,,,,,,,Dbf4,,,,,,,,Fam43a,,H2bc11,,Mob2,
,Bbs9,,Parg,Pogz,,,,,,,,,,Sbk1,Hist2h2bb,,,,,,,Ppat,,,,,,,,Fam71e1,,H2bc12,,Mob3a,
,Cyb5r3,,Acot7,Prkcd,,,,,,,,,,Lif,Atg9a,,,,,,,Mbnl3,,,,,,,,Fam83g,,H3c8,,Mpnd,
,Blvrb,,Sesn1,Mpeg1,,,,,,,,,,Clock,EG233075,,,,,,,Fosb,,,,,,,,Fbrs,,H4c6,,Mpp1,
,Glo1,,Pmaip1,Ppt1,,,,,,,,,,Ccdc60,620946,,,,,,,Gins2,,,,,,,,Fbxl12,,Haspin,,Msra,
,1200011I18Rik,,Spag7,Fosb,,,,,,,,,,Trps1,Tecpr2,,,,,,,Prdx1,,,,,,,,Fbxo16,,Haus3,,Msrb3,
,Fnbp4,,Mgrn1,Fchsd2,,,,,,,,,,RP23-59B8.2,Syt7,,,,,,,Set,,,,,,,,Fbxo32,,Haus5,,Mtdh,
,Slc31a1,,Hvcn1,Hdac8,,,,,,,,,,Dock1,1700104A03Rik,,,,,,,St13,,,,,,,,Fbxo9,,Haus8,,Mtss1,
,Ss18,,Smc3,Mcart6,,,,,,,,,,Zfp945,Trim29,,,,,,,Cse1l,,,,,,,,Fcgrt,,Hdac7,,Mylip,
,Upf2,,Gstm1,Slfn8,,,,,,,,,,Letm2,Cno,,,,,,,Gtpbp4,,,,,,,,Fcho2,,Hdgf,,Napsa,
,Phf10,,Thap2,Rnf150,,,,,,,,,,Aldh6a1,Epn2,,,,,,,Ubap2l,,,,,,,,Fchsd1,,Hectd1,,Nav1,
,Herpud2,,Gtf2e1,Chrne,,,,,,,,,,Eepd1,Ttk,,,,,,,Pgm1,,,,,,,,Fgd5,,Helb,,Ncaph,
,Lrpprc,,Lrp6,Hivep2,,,,,,,,,,Atg14,Abcc12,,,,,,,H2afx,,,,,,,,Fgfr1,,Hemgn,,Ncf1,
,Zcchc6,,Ythdf3,Rab21,,,,,,,,,,Vav3,Kif20b,,,,,,,Spc25,,,,,,,,Fgfr3,,Hint1,,Ncf4,
,Pds5b,,Pdcd11,Sgpp1,,,,,,,,,,Hif1a,Gng7,,,,,,,Taok3,,,,,,,,Fhdc1,,Hirip3,,Ndc80,
,Phactr4,,1700025G04Rik,Rhob,,,,,,,,,,Zfp354a,Mybph,,,,,,,1700029F09Rik,,,,,,,,Fhl1,,Hist1h2ap,,Nde1,
,Suz12,,Rab32,Kcnj14,,,,,,,,,,Tfpi,Fkrp,,,,,,,Hmmr,,,,,,,,Flrt1,,Hjurp,,Nemp2,
,Blm,,Map3k1,Mfsd8,,,,,,,,,,Tbc1d4,Pcx,,,,,,,Mif4gd,,,,,,,,Flrt3,,Hk1,,Nfam1,
,E2f6,,Slc25a12,Slc30a5,,,,,,,,,,1700025G04Rik,Kprp,,,,,,,Impdh2,,,,,,,,Flt3l,,Hmces,,Nim1k,
,Napg,,Suv39h1,Btg2,,,,,,,,,,Epha7,Papln,,,,,,,Fam195b,,,,,,,,Flywch2,,Hmgb1,,Nlrc3,
,Itch,,Setd5,Fos,,,,,,,,,,RP23-60D3.3,Rplp1  // Rplp1  // Rplp1,,,,,,,Btg2,,,,,,,,Fmnl2,,Hmgb2,,Nlrp1a,
,Pcid2,,Ttc7,Atp1b1,,,,,,,,,,P3h2,Kcnq4,,,,,,,Mapk1ip1l,,,,,,,,Fmo5,,Hmgb3,,Nme2,
,Qtrtd1,,Acpl2,Sema4d,,,,,,,,,,Zfp790,B630019K06Rik,,,,,,,Cdkn3,,,,,,,,Fnbp1,,Hmgn5,,Nme4,
,Dicer1,,Tmem57,Arpc1b,,,,,,,,,,Pisd-ps2,Olfr1102,,,,,,,Ndufaf2,,,,,,,,Fnbp1l,,Hnrnpc,,Nmral1,
,Eif2ak1,,Hipk1,Fastkd5,,,,,,,,,,Nlrc4,Bmp3,,,,,,,Esco1,,,,,,,,Focad,,Hnrnpd,,Notch1,
,Alkbh5,,Plod3,Mocs2,,,,,,,,,,Il15,Spocd1,,,,,,,Ybx1,,,,,,,,Foxa3,,Hnrnpll,,Notch2,
,Mat2a,,Prdm10,Lck,,,,,,,,,,Lmbr1,Rbm38,,,,,,,Rrm2,,,,,,,,Foxd2,,Hsd17b4,,Nrm,
,Ifih1,,Isy1,Dhx33,,,,,,,,,,Exoc6b,Mrps12,,,,,,,Cdk4,,,,,,,,Foxd2os,,Hsd3b7,,Nrros,
,Prpf3,,Cdca7l,Uhmk1,,,,,,,,,,Gpatch3,Psmg4,,,,,,,Ddx6,,,,,,,,Foxo1,,Hspa2,,Nsd2,
,Btrc,,Rbl1,Myh9,,,,,,,,,,A130010J15Rik,Aplp1,,,,,,,Slc38a2,,,,,,,,Foxred2,,Hspd1,,Nsmce1,
,Mcart1,,Psmb9,Lfng,,,,,,,,,,Sirt5,Zfp579,,,,,,,Atpif1,,,,,,,,Frmd4b,,Hspe1,,Nuak2,
,Kdelr2,,Kctd13,Stk17b,,,,,,,,,,Slc39a6,Ptgs1,,,,,,,Tyms,,,,,,,,Fscn1,,Icam4,,Nub1,
,4933439F18Rik,,Fastkd3,Rel,,,,,,,,,,Lck,Wfdc16,,,,,,,Vps35,,,,,,,,Fsd1l,,Il1rl1,,Nucb2,
,Prkar2b,,Rassf4,Sp110,,,,,,,,,,Hspb7,Gpr156,,,,,,,Klf4,,,,,,,,Fstl1,,Inafm1,,Numb,
,Ssbp3,,Atp6v1b2,Pigy,,,,,,,,,,Zfp606,2310014D11Rik,,,,,,,Suclg2,,,,,,,,Furin,,Incenp,,Nup210,
,Nlk,,Anxa5,Mtss1,,,,,,,,,,Kcnq3,Kif11,,,,,,,Gmnn,,,,,,,,Fxyd1,,Inip,,P2rx7,
,Npepps,,Gria3,Gimap4,,,,,,,,,,BC048546,OTTMUSG00000000469,,,,,,,Kif15,,,,,,,,Fzd5,,Inka1,,P2ry10,
,Ppp1r9b,,Mgst1,Slc9a6,,,,,,,,,,Ccdc102a,Zfp46,,,,,,,Zbtb11,,,,,,,,Fzd6,,Ino80c,,P2ry13,
,Uap1,,Echs1,Ppapdc2,,,,,,,,,,Grid2,Ppp1r3a,,,,,,,Hp1bp3,,,,,,,,Gabbr1,,Ints5,,P2ry14,
,Rab43,,Iqgap2,Marcks,,,,,,,,,,Armc3,Dbx2,,,,,,,Ncbp2,,,,,,,,Gabbr2,,Iqgap3,,P4ha1,
,Dbf4,,Cdyl2,Rabep1,,,,,,,,,,Hoxa5,Gja1,,,,,,,Mcm5,,,,,,,,Gadd45g,,Itga2b,,Pag1,
,Asb7,,Abhd5,Pde7a,,,,,,,,,,Phf13,Ptms,,,,,,,Skil,,,,,,,,Galc,,Itga4,,Pald1,
,Mbnl3,,Ap3s1,Nfe2l1,,,,,,,,,,Lrp3,Olfr1123,,,,,,,Dek,,,,,,,,Gata2,,Itga6,,Pan3,
,Pspc1,,Tnfrsf13b,Kpna6,,,,,,,,,,Prkag2,Rfc3,,,,,,,Hint1,,,,,,,,Gata3,,Itgb1,,Paox,
,Scly,,Cybasc3,Aff4,,,,,,,,,,Il12a,Olfr887,,,,,,,Mms19,,,,,,,,Gbp10,,Itgb2,,Paqr5,
,Ubr2,,BC013712,Inadl,,,,,,,,,,Adgrl4,Slc18a2,,,,,,,Wdr77,,,,,,,,Gbp4,,Itgb3,,Pard6g,
,Phb,,Slc35e3,Glg1,,,,,,,,,,2010107G23Rik,Ntn5,,,,,,,Usp39,,,,,,,,Gbp6,,Jpt1,,Park7,
